feature_method,classifier,actual,predicted,headline
bow_unigram,decision_tree,politics,sports,7
bow_unigram,decision_tree,politics,sports,'gujarat won't allow patkar entry': shah amid buzz of aap plans
bow_unigram,decision_tree,politics,sports,"jharkhand governor in delhi, jmm cries foul"
bow_unigram,decision_tree,politics,sports,sri lanka: sjb's sajith premadasa nominated for interim presidency
bow_unigram,decision_tree,politics,sports,"monsoon session over, india focuses on war plan ahead of mumbai meet"
bow_unigram,decision_tree,politics,sports,ham: remark backing any nitish return to nda 'misinterpreted'
bow_unigram,decision_tree,politics,sports,"govt flats to rohingya refugees trigger row, home ministry clarifies"
bow_unigram,decision_tree,politics,sports,nitish kumar: running strong despite twists and turns
bow_unigram,decision_tree,politics,sports,explained: why majority governments are holding floor tests
bow_unigram,decision_tree,politics,sports,brs to oppose uniform civil code bill: kcr
bow_unigram,decision_tree,politics,sports,"rohingya trying to use assam as transit state to sneak into delhi, kashmir: himanta biswa sarma"
bow_unigram,decision_tree,politics,sports,9
bow_unigram,decision_tree,politics,sports,"bihar: first in 30 years, md shahabuddin's kin out of rjd panels"
bow_unigram,decision_tree,politics,sports,will seek public opinion on alliance's new logo: uddhav thackeray
bow_unigram,decision_tree,politics,sports,"real loot is in sale of red tomatoes, cylinders: ashok gehlot"
bow_unigram,decision_tree,politics,sports,maya hits out at centre over pfi ban
bow_unigram,decision_tree,politics,sports,1
bow_unigram,decision_tree,politics,sports,"government: don't agree with press freedom index, methodology questionable"
bow_unigram,decision_tree,politics,sports,sachin pilot keeps alive suspense on next move
bow_unigram,decision_tree,politics,sports,"bommai, dks, other netas on temple run day before voting"
bow_unigram,decision_tree,politics,sports,soren government in jharkhand to seek trust vote on monday to dispel 'uncertainty'
bow_unigram,decision_tree,politics,sports,11
bow_unigram,decision_tree,politics,sports,ajay maken unwilling to continue as congress's rajasthan in-charge
bow_unigram,decision_tree,politics,sports,6
bow_unigram,decision_tree,politics,sports,news
bow_unigram,decision_tree,politics,sports,proceedings washed out for third day; irani hits out at rahul
bow_unigram,decision_tree,sports,politics,"indian football restart: isl set to resume from feb 14, says sports minister; 4 clubs yet to commit"
bow_unigram,decision_tree,politics,sports,"upset with ajit entry, shinde's mlas say 'will get half a bread instead of one now'"
bow_unigram,decision_tree,politics,sports,"outgoing bihar speaker did not want a dalit to preside over house, says his deputy"
bow_unigram,decision_tree,politics,sports,"border row: meeting in delhi achieved nothing, favoured karnataka, claims uddhav thackeray"
bow_unigram,decision_tree,politics,sports,"an ed that promises to 'rule, not raid'"
bow_unigram,decision_tree,politics,sports,4 cong mps suspended from ls for entire session as oppn continues to demand price rise debate
bow_unigram,decision_tree,sports,politics,"after visits from rcb & rr, maharashtra cricket association pitch pune stadium for ipl 2026 matches"
bow_unigram,decision_tree,politics,sports,win for edappadi palaniswami as sc upholds madras hc order on aiadmk leadership
bow_unigram,decision_tree,politics,sports,how politics behind darbhanga aiims has delayed its construction
bow_unigram,decision_tree,politics,sports,kerala: cpm makes covid hero shailaja reject magsaysay award
bow_unigram,decision_tree,politics,sports,ys jagan mohan reddy calls n chandrababu naidu jilted power lover
bow_unigram,decision_tree,politics,sports,aap govt will sponsor ayodhya trip of lord ram devotees if voted to power in gujarat: kejriwal
bow_unigram,decision_tree,politics,sports,pre-planned strategy from treasury benches: priyanka chaturvedi on suspension of mps
bow_unigram,decision_tree,politics,sports,"not just nitish kumar, former ally jitan ram manjhi also objects to opposition’s india name"
bow_unigram,decision_tree,politics,sports,"tejashwi yadav: born with a silver spoon, earning his spurs"
bow_unigram,decision_tree,politics,sports,india to contest elections together ‘as far as possible’
bow_unigram,decision_tree,sports,politics,retro-sport: when fans flocked to russian house to watch india’s 1st chess grandmaster take on india’s 2nd gm
bow_unigram,decision_tree,politics,sports,"major bengal cabinet, tmc organisational reshuffle in offing"
bow_unigram,decision_tree,politics,sports,'jeetega bharat' tagline for opposition alliance india
bow_unigram,decision_tree,sports,politics,‘they’re not party animals’: stuart broad rubbishes claims about england’s ‘drinking culture’ after 1-4 ashes drubbing
bow_unigram,decision_tree,politics,sports,how odisha train accident got politicised
bow_unigram,decision_tree,politics,sports,criteria and frameworks are being decided for implementation of guarantees: priyank kharge
bow_unigram,decision_tree,politics,sports,why ‘mullah mulayam’ tag didn’t hurt
bow_unigram,decision_tree,sports,politics,syed modi international demoted to super 100 from super 300 under new bwf reforms
bow_unigram,decision_tree,politics,sports,time has come to become 'ruler society': mayawati's call to bahujan samaj
bow_unigram,decision_tree,politics,sports,"5 mps of cpi, cpm to visit strife-torn manipur for 3 days to assess situation"
bow_unigram,decision_tree,politics,sports,modi mantra now resonates world over: yogi adityanath
bow_unigram,decision_tree,politics,sports,will tejashwi yadav act against nitish kumar-baiter rjd mla sudhakar singh
bow_unigram,decision_tree,politics,sports,"boost for uddhav thackeray, hc rules in favour of rutuja latke, pulls up bmc"
bow_unigram,decision_tree,politics,sports,"rajasthan: sachin pilot takes a dig at ashok gehlot, says rahul gandhi's praise shouldn't upset anyone"
bow_unigram,decision_tree,politics,sports,"for old guard, a make-or-break battle in rajasthan, madhya pradesh"
